dialogue_prompt_id,category_id,category_title,scenario_id,scenario_title,response_type,minimal_context,dialogue,mcq_ids,challenge_type,rubric_criteria_immediate,rubric_criteria_long_term
276,79,Preschoolers with Autism and communication delays who engage in physical aggression to delay transitions,154,Transitioning from a preferred activity to a non-preferred task,long_term,Chris is playing with an iPad and needs to transition to table work.,"TUTOR: Chris, it is time to put the iPad away and come to the table for work time.

STUDENT: (Drops to the floor) No.

TUTOR: We have to do our work now. Please stand up.

STUDENT: (Elopes from the activity area, making vocalizations with poor articulation that are difficult to understand.)

TUTOR: Chris, you need to come back and sit at the table.

STUDENT: (Engages in physical aggression by kicking the table leg hard and throwing classroom items across the room to delay the transition.)",434,Task Resistance,"1. Visual First/Then Contingency: The tutor's immediate response explicitly includes the use of visual supports, such as a 'First/Then' board or visual rules, to frame the transition expectation.

2. Active Timer Routine: The tutor incorporates a timer to signal the transition and includes Chris in the process by having him turn it off or actively hand back the item.

3. Pre-Loaded Token Economy: The tutor utilizes a token system that is pre-loaded (e.g., starting with 4 out of 5 tokens already earned) to provide near-immediate access to the reinforcer upon following the instruction.","4. Functional Communication Training (FCT): The long-term plan includes systematic teaching, modeling, and prompting for Chris to functionally communicate his requests for preferred items across the school day.

5. Individualized Programming over Generic Strategies: The long-term plan explicitly relies on a highly individualized behavior plan (using specific visual and token systems) rather than defaulting to generic, developmentally appropriate classroom management strategies."
277,80,Adolescents and adults with moderate to severe ID who use speech and key word signing,155,Manual signing during non-communicative crafts activity,immediate,The student is painting a card during a group crafts activity.,"TUTOR: Let's start painting the cards for the group activity. What color do you want to use first?

STUDENT: (Holding the paintbrush and paper) Red paint.

TUTOR: Okay, go ahead and paint.

STUDENT: (Focusing intently on the painting task) Look, a big circle.

TUTOR: What are you going to put next to the circle?

STUDENT: (Keeps both hands occupied with the craft materials, communicating exclusively verbally and abandoning spontaneous manual signs) I need the blue now.",0435|0436|0437,Academic Struggle,"1. Active Sign Modelling: The tutor explicitly describes producing manual signs alongside their verbal dialogue (e.g., using stage directions like *signs 'paint'* or *uses the sign for juice*).

2. Explicit Sign Elicitation: The tutor explicitly requests the student to show a sign (e.g., 'How do we sign apple?') or describes initiating a sign and waiting expectantly for the student to complete it.","1. Cross-Context Generalization Strategy: The long-term plan includes specific strategies to practice and reinforce manual signing during diverse daily activities (e.g., mealtimes, crafts, leisure) where hands or attention are occupied.

2. Situational Expectation Building: The long-term plan includes establishing routines or environmental cues that signal to the student that manual signs are expected in that specific situation."
278,80,Adolescents and adults with moderate to severe ID who use speech and key word signing,155,Manual signing during non-communicative crafts activity,long_term,The student is painting a card during a group crafts activity.,"TUTOR: Let's start painting the cards for the group activity. What color do you want to use first?

STUDENT: (Holding the paintbrush and paper) Red paint.

TUTOR: Okay, go ahead and paint.

STUDENT: (Focusing intently on the painting task) Look, a big circle.

TUTOR: What are you going to put next to the circle?

STUDENT: (Keeps both hands occupied with the craft materials, communicating exclusively verbally and abandoning spontaneous manual signs) I need the blue now.",438,Academic Struggle,"1. Active Sign Modelling: The tutor explicitly describes producing manual signs alongside their verbal dialogue (e.g., using stage directions like *signs 'paint'* or *uses the sign for juice*).

2. Explicit Sign Elicitation: The tutor explicitly requests the student to show a sign (e.g., 'How do we sign apple?') or describes initiating a sign and waiting expectantly for the student to complete it.","1. Cross-Context Generalization Strategy: The long-term plan includes specific strategies to practice and reinforce manual signing during diverse daily activities (e.g., mealtimes, crafts, leisure) where hands or attention are occupied.

2. Situational Expectation Building: The long-term plan includes establishing routines or environmental cues that signal to the student that manual signs are expected in that specific situation."
279,80,Adolescents and adults with moderate to severe ID who use speech and key word signing,156,Manual signing during midday mealtimes,immediate,The student is participating in a midday mealtime group activity and requesting food items.,"TUTOR: It is time for our midday meal. What would you like to drink?

STUDENT: Juice.

TUTOR: Here is your juice. What are you going to eat?

STUDENT: Sandwich. (Picks up the sandwich with both hands)

TUTOR: Do you want some fruit with your sandwich?

STUDENT: Yes, apple. (Communicates exclusively verbally, abandoning spontaneous manual signs entirely while holding the food)",439,Academic Struggle,"1. Active Sign Modelling: The tutor explicitly describes producing manual signs alongside their verbal dialogue (e.g., using stage directions like *signs 'paint'* or *uses the sign for juice*).

2. Explicit Sign Elicitation: The tutor explicitly requests the student to show a sign (e.g., 'How do we sign apple?') or describes initiating a sign and waiting expectantly for the student to complete it.","1. Cross-Context Generalization Strategy: The long-term plan includes specific strategies to practice and reinforce manual signing during diverse daily activities (e.g., mealtimes, crafts, leisure) where hands or attention are occupied.

2. Situational Expectation Building: The long-term plan includes establishing routines or environmental cues that signal to the student that manual signs are expected in that specific situation."
280,80,Adolescents and adults with moderate to severe ID who use speech and key word signing,156,Manual signing during midday mealtimes,long_term,The student is participating in a midday mealtime group activity and requesting food items.,"TUTOR: It is time for our midday meal. What would you like to drink?

STUDENT: Juice.

TUTOR: Here is your juice. What are you going to eat?

STUDENT: Sandwich. (Picks up the sandwich with both hands)

TUTOR: Do you want some fruit with your sandwich?

STUDENT: Yes, apple. (Communicates exclusively verbally, abandoning spontaneous manual signs entirely while holding the food)",440,Academic Struggle,"1. Active Sign Modelling: The tutor explicitly describes producing manual signs alongside their verbal dialogue (e.g., using stage directions like *signs 'paint'* or *uses the sign for juice*).

2. Explicit Sign Elicitation: The tutor explicitly requests the student to show a sign (e.g., 'How do we sign apple?') or describes initiating a sign and waiting expectantly for the student to complete it.","1. Cross-Context Generalization Strategy: The long-term plan includes specific strategies to practice and reinforce manual signing during diverse daily activities (e.g., mealtimes, crafts, leisure) where hands or attention are occupied.

2. Situational Expectation Building: The long-term plan includes establishing routines or environmental cues that signal to the student that manual signs are expected in that specific situation."
281,81,Confident students with articulation-based Spoken Language Disorders,157,Articulation difficulty during vocabulary peer talk,immediate,The student is participating in a peer turn-and-talk activity about who inspires them following an interactive read-aloud of 'Rocket Writes a Story'.,"TUTOR: We just finished reading 'Rocket Writes a Story'. Now it is time to turn and talk with your group. Who is someone that inspires you?

STUDENT: I will start the conversation.

TUTOR: Okay, go ahead.

STUDENT: I know my answer.

TUTOR: Tell us.

STUDENT: My sister. She sires [sic] me to get my homework done. My sister sires me [sic].",441,Academic Struggle,"1. Seamless Pronunciation Modeling: The tutor's response must naturally embed the correctly pronounced target word (e.g., via recasting or affirming repetition) without explicitly criticizing or drawing negative attention to her articulation error.","1. Contextualized Vocabulary Introduction: The long-term plan must introduce new vocabulary using a combination of child-friendly definitions, relatable real-world examples, and direct connections to a shared text.

2. Peer-Based Expressive Practice: The long-term plan must consistently incorporate peer discussion or 'turn-and-talk' routines that allow her to practice using novel words expressively with classmates.

3. Fading Vocabulary Scaffolding: The long-term plan must explicitly state a strategy for gradually decreasing the amount of scaffolding or prompting provided for target vocabulary words over multiple sessions."
282,81,Confident students with articulation-based Spoken Language Disorders,157,Articulation difficulty during vocabulary peer talk,long_term,The student is participating in a peer turn-and-talk activity about who inspires them following an interactive read-aloud of 'Rocket Writes a Story'.,"TUTOR: We just finished reading 'Rocket Writes a Story'. Now it is time to turn and talk with your group. Who is someone that inspires you?

STUDENT: I will start the conversation.

TUTOR: Okay, go ahead.

STUDENT: I know my answer.

TUTOR: Tell us.

STUDENT: My sister. She sires [sic] me to get my homework done. My sister sires me [sic].",0442|0443,Academic Struggle,"1. Seamless Pronunciation Modeling: The tutor's response must naturally embed the correctly pronounced target word (e.g., via recasting or affirming repetition) without explicitly criticizing or drawing negative attention to her articulation error.","1. Contextualized Vocabulary Introduction: The long-term plan must introduce new vocabulary using a combination of child-friendly definitions, relatable real-world examples, and direct connections to a shared text.

2. Peer-Based Expressive Practice: The long-term plan must consistently incorporate peer discussion or 'turn-and-talk' routines that allow her to practice using novel words expressively with classmates.

3. Fading Vocabulary Scaffolding: The long-term plan must explicitly state a strategy for gradually decreasing the amount of scaffolding or prompting provided for target vocabulary words over multiple sessions."
283,82,Reserved students with Spoken Language Disorders who require initial scaffolding,158,Articulation struggles and reluctance during peer discussion,immediate,Jocelyn is in a small-group discussion about the text Bear's Loose Tooth and is asked to provide an example of the word savoring.,"TUTOR: We are reading Bear's Loose Tooth. Can you give an example of something you are savoring?

STUDENT: (Remains quiet and reluctant to talk as others dominate the conversation)

TUTOR: Do you have an example to share with the group?

STUDENT: (Struggles to provide an accurate example) I like to eat...

TUTOR: What do you like to eat? Go ahead and say it.

STUDENT: /kajk/, /ca/; I can?™t say it right.",0444|0445,Academic Struggle,"1. Low-Pressure Verbal Encouragement: The tutor's response includes explicit, supportive verbal encouragement that validates her effort or normalizes the struggle to speak.

2. Non-Punitive Articulation Modeling: The tutor models the correct articulation or pronunciation of the target word after the student's attempt, without criticizing or drawing negative attention to the error.

3. Conceptual Bridging via Leading Questions: The tutor uses a leading question or prompt that directly incorporates the student's own conceptual phrasing to elicit the target vocabulary word.","4. Gradual Scaffolding Fading: The long-term plan includes a strategy for gradually decreasing the level of prompting or scaffolding as the student's competence and confidence increase.

5. Explicit Multi-Faceted Vocabulary Introduction: The long-term plan incorporates explicit vocabulary instruction that includes child-friendly definitions, relatable examples, and contextual connections to texts prior to peer application.

6. Curated Tier-Two Word Selection: The long-term plan focuses on selecting and targeting a limited, curated number (e.g., 3-5) of robust, high-utility vocabulary words per text or unit."
284,82,Reserved students with Spoken Language Disorders who require initial scaffolding,158,Articulation struggles and reluctance during peer discussion,long_term,Jocelyn is in a small-group discussion about the text Bear's Loose Tooth and is asked to provide an example of the word savoring.,"TUTOR: We are reading Bear's Loose Tooth. Can you give an example of something you are savoring?

STUDENT: (Remains quiet and reluctant to talk as others dominate the conversation)

TUTOR: Do you have an example to share with the group?

STUDENT: (Struggles to provide an accurate example) I like to eat...

TUTOR: What do you like to eat? Go ahead and say it.

STUDENT: /kajk/, /ca/; I can?™t say it right.",0446|0447,Academic Struggle,"1. Low-Pressure Verbal Encouragement: The tutor's response includes explicit, supportive verbal encouragement that validates her effort or normalizes the struggle to speak.

2. Non-Punitive Articulation Modeling: The tutor models the correct articulation or pronunciation of the target word after the student's attempt, without criticizing or drawing negative attention to the error.

3. Conceptual Bridging via Leading Questions: The tutor uses a leading question or prompt that directly incorporates the student's own conceptual phrasing to elicit the target vocabulary word.","4. Gradual Scaffolding Fading: The long-term plan includes a strategy for gradually decreasing the level of prompting or scaffolding as the student's competence and confidence increase.

5. Explicit Multi-Faceted Vocabulary Introduction: The long-term plan incorporates explicit vocabulary instruction that includes child-friendly definitions, relatable examples, and contextual connections to texts prior to peer application.

6. Curated Tier-Two Word Selection: The long-term plan focuses on selecting and targeting a limited, curated number (e.g., 3-5) of robust, high-utility vocabulary words per text or unit."
285,82,Reserved students with Spoken Language Disorders who require initial scaffolding,159,Providing conceptual answers without target vocabulary,immediate,The student is participating in an interactive read-aloud of 'A Leaf Can Be' and is asked to explain how she would conceal herself during hide and seek.,"TUTOR: We are talking about the book 'A Leaf Can Be'. How did you conceal yourself when playing hide and seek?

STUDENT: I wore purple and I go hide in purple.

TUTOR: Can you use our new vocabulary word to tell me what you did?

STUDENT: (Speaks quietly) I just hide in the purple.

TUTOR: Keep trying. What is the word we are practicing?

STUDENT: (Looks down and remains quiet) I don't know.",448,Academic Struggle,"1. Low-Pressure Verbal Encouragement: The tutor's response includes explicit, supportive verbal encouragement that validates her effort or normalizes the struggle to speak.

2. Non-Punitive Articulation Modeling: The tutor models the correct articulation or pronunciation of the target word after the student's attempt, without criticizing or drawing negative attention to the error.

3. Conceptual Bridging via Leading Questions: The tutor uses a leading question or prompt that directly incorporates the student's own conceptual phrasing to elicit the target vocabulary word.","4. Gradual Scaffolding Fading: The long-term plan includes a strategy for gradually decreasing the level of prompting or scaffolding as the student's competence and confidence increase.

5. Explicit Multi-Faceted Vocabulary Introduction: The long-term plan incorporates explicit vocabulary instruction that includes child-friendly definitions, relatable examples, and contextual connections to texts prior to peer application.

6. Curated Tier-Two Word Selection: The long-term plan focuses on selecting and targeting a limited, curated number (e.g., 3-5) of robust, high-utility vocabulary words per text or unit."
286,82,Reserved students with Spoken Language Disorders who require initial scaffolding,159,Providing conceptual answers without target vocabulary,long_term,The student is participating in an interactive read-aloud of 'A Leaf Can Be' and is asked to explain how she would conceal herself during hide and seek.,"TUTOR: We are talking about the book 'A Leaf Can Be'. How did you conceal yourself when playing hide and seek?

STUDENT: I wore purple and I go hide in purple.

TUTOR: Can you use our new vocabulary word to tell me what you did?

STUDENT: (Speaks quietly) I just hide in the purple.

TUTOR: Keep trying. What is the word we are practicing?

STUDENT: (Looks down and remains quiet) I don't know.",449,Academic Struggle,"1. Low-Pressure Verbal Encouragement: The tutor's response includes explicit, supportive verbal encouragement that validates her effort or normalizes the struggle to speak.

2. Non-Punitive Articulation Modeling: The tutor models the correct articulation or pronunciation of the target word after the student's attempt, without criticizing or drawing negative attention to the error.

3. Conceptual Bridging via Leading Questions: The tutor uses a leading question or prompt that directly incorporates the student's own conceptual phrasing to elicit the target vocabulary word.","4. Gradual Scaffolding Fading: The long-term plan includes a strategy for gradually decreasing the level of prompting or scaffolding as the student's competence and confidence increase.

5. Explicit Multi-Faceted Vocabulary Introduction: The long-term plan incorporates explicit vocabulary instruction that includes child-friendly definitions, relatable examples, and contextual connections to texts prior to peer application.

6. Curated Tier-Two Word Selection: The long-term plan focuses on selecting and targeting a limited, curated number (e.g., 3-5) of robust, high-utility vocabulary words per text or unit."
287,83,Attention-seeking students without language disorders who mimic peers,160,Spontaneous outbursts during vocabulary introduction,immediate,The class is participating in a whole group discussion to introduce the vocabulary word 'declared' during an interactive read-aloud of The Day the Crayons Quit.,"TUTOR: We are reading The Day the Crayons Quit today. Let's talk about our new vocabulary word.

STUDENT: I want to be the helper! I can be the helper for the book!

TUTOR: Let's see if anyone knows the word. Helen, what do you think it is?

STUDENT: (Looking around at the other students) I know it! I have thoughts to share too!

TUTOR: Helen just said the word is declared.

STUDENT: Declared.",450,Social-Interpersonal Difficulty,"1. Explicit Volunteering Reminder: The tutor's response must include a clear reminder or instruction for Sidney to raise her hand or wait to be called on to volunteer her thoughts.

2. Home-Life Connection Prompt: The tutor's response must prompt Sidney to relate the target vocabulary word or concept specifically to her own personal experiences or home life.",1. Gradual Fading of Scaffolding: The tutor's long-term plan must explicitly describe a strategy for gradually reducing behavioral reminders or instructional support over time to build independence.
288,83,Attention-seeking students without language disorders who mimic peers,161,Mimicking peers during collaborative conversation,immediate,The student is participating in a small group peer talk session to apply the word 'declared' from the book Rocket Writes a Story.,"TUTOR: Let's start our small group discussion about the word 'declared' from the book Rocket Writes a Story.

STUDENT: (Demonstrates a strong desire to share her thoughts spontaneously) I want to share my thoughts!

TUTOR: Let's listen to Helen first. Helen says her mom declared she had to do homework so she could watch SpongeBob and play with the dog.

STUDENT: (Competes with other peers for attention) Listen to me, I have a sentence too!

TUTOR: Okay Sidney, what is your example for the word 'declared'?

STUDENT: (Echoes Helen's response) My mom declared I would get homework done so that I could watch SpongeBob and play with the dog.",451,Social-Interpersonal Difficulty,"1. Explicit Volunteering Reminder: The tutor's response must include a clear reminder or instruction for Sidney to raise her hand or wait to be called on to volunteer her thoughts.

2. Home-Life Connection Prompt: The tutor's response must prompt Sidney to relate the target vocabulary word or concept specifically to her own personal experiences or home life.",1. Gradual Fading of Scaffolding: The tutor's long-term plan must explicitly describe a strategy for gradually reducing behavioral reminders or instructional support over time to build independence.
289,83,Attention-seeking students without language disorders who mimic peers,161,Mimicking peers during collaborative conversation,long_term,The student is participating in a small group peer talk session to apply the word 'declared' from the book Rocket Writes a Story.,"TUTOR: Let's start our small group discussion about the word 'declared' from the book Rocket Writes a Story.

STUDENT: (Demonstrates a strong desire to share her thoughts spontaneously) I want to share my thoughts!

TUTOR: Let's listen to Helen first. Helen says her mom declared she had to do homework so she could watch SpongeBob and play with the dog.

STUDENT: (Competes with other peers for attention) Listen to me, I have a sentence too!

TUTOR: Okay Sidney, what is your example for the word 'declared'?

STUDENT: (Echoes Helen's response) My mom declared I would get homework done so that I could watch SpongeBob and play with the dog.",452,Social-Interpersonal Difficulty,"1. Explicit Volunteering Reminder: The tutor's response must include a clear reminder or instruction for Sidney to raise her hand or wait to be called on to volunteer her thoughts.

2. Home-Life Connection Prompt: The tutor's response must prompt Sidney to relate the target vocabulary word or concept specifically to her own personal experiences or home life.",1. Gradual Fading of Scaffolding: The tutor's long-term plan must explicitly describe a strategy for gradually reducing behavioral reminders or instructional support over time to build independence.
290,84,Adolescent readers who maintain a positive reading identity by distancing themselves from non-reading home and peer environments,162,Engaging with standard course requirements and assignments,immediate,The student is conferencing with the teacher to complete their reading log and reflection for a recently finished book.,"TUTOR: We have 30 minutes for independent reading or conferencing. Please complete your reading log and reflection for the book you just finished.

STUDENT: I read over 100 books in this course, but I really do not enjoy these standard course requirements.

TUTOR: What do you think you should write down?

STUDENT: I'd rather just give a strong critique about the book in our reading group. I'm an active, engaged participant there.

TUTOR: You need to finish the written reflection today.

STUDENT: I'm just going to keep reading instead. I always have issues with timeliness and work completion for these logs anyway.",453,Task Resistance,"1. Integration of Strong Critiques: The tutor's response must offer, encourage, or validate an opportunity for the student to provide a strong critique or opinion about a book, rather than strictly enforcing a standard written requirement.

2. Facilitation of Authentic Reader Dialogue: The tutor's response must invite the student into an authentic conversation about their reading experience or actively connect them with peers for genuine dialogue, rather than just asking them to report on their progress.","1. Flexible and Individualized Assessment: The tutor's long-term plan must include flexible assignment formats or individualized assessment methods (e.g., alternatives to standard reading logs) to evaluate the student's progress.

2. Unrestricted Text Self-Selection: The tutor's long-term plan must explicitly protect and emphasize the student's ability to self-select all of their reading materials.

3. Cultivation of a Supportive Reading Community: The tutor's long-term plan must include strategies for building or sustaining a reading community that respects individual perspectives and provides social support for the student's reading identity."
291,84,Adolescent readers who maintain a positive reading identity by distancing themselves from non-reading home and peer environments,162,Engaging with standard course requirements and assignments,long_term,The student is conferencing with the teacher to complete their reading log and reflection for a recently finished book.,"TUTOR: We have 30 minutes for independent reading or conferencing. Please complete your reading log and reflection for the book you just finished.

STUDENT: I read over 100 books in this course, but I really do not enjoy these standard course requirements.

TUTOR: What do you think you should write down?

STUDENT: I'd rather just give a strong critique about the book in our reading group. I'm an active, engaged participant there.

TUTOR: You need to finish the written reflection today.

STUDENT: I'm just going to keep reading instead. I always have issues with timeliness and work completion for these logs anyway.",0454|0455,Task Resistance,"1. Integration of Strong Critiques: The tutor's response must offer, encourage, or validate an opportunity for the student to provide a strong critique or opinion about a book, rather than strictly enforcing a standard written requirement.

2. Facilitation of Authentic Reader Dialogue: The tutor's response must invite the student into an authentic conversation about their reading experience or actively connect them with peers for genuine dialogue, rather than just asking them to report on their progress.","1. Flexible and Individualized Assessment: The tutor's long-term plan must include flexible assignment formats or individualized assessment methods (e.g., alternatives to standard reading logs) to evaluate the student's progress.

2. Unrestricted Text Self-Selection: The tutor's long-term plan must explicitly protect and emphasize the student's ability to self-select all of their reading materials.

3. Cultivation of a Supportive Reading Community: The tutor's long-term plan must include strategies for building or sustaining a reading community that respects individual perspectives and provides social support for the student's reading identity."
292,84,Adolescent readers who maintain a positive reading identity by distancing themselves from non-reading home and peer environments,163,Discussing book recommendations with non-reading peers,immediate,The student is meeting with her book group in a YAL course to spend 15 minutes discussing book recommendations based on self-selected texts.,"TUTOR: For the next 15 minutes, please discuss your book recommendations with your book group.

STUDENT: I guess I can tell them about the book I am reading right now.

TUTOR: What do you usually say to them?

STUDENT: Oh, well some people are, like, 'Oh, what is the book you are reading right now?' And I tell them about it, and they are like, 'Oh, that?™s cool, I?™ll read it.'

TUTOR: How does that work out?

STUDENT: (Donning a playful affect) And then they never do! It's frustrating because of their unwillingness to read my explicit recommendations, but I just take it in stride.",456,Task Resistance,"1. Integration of Strong Critiques: The tutor's response must offer, encourage, or validate an opportunity for the student to provide a strong critique or opinion about a book, rather than strictly enforcing a standard written requirement.

2. Facilitation of Authentic Reader Dialogue: The tutor's response must invite the student into an authentic conversation about their reading experience or actively connect them with peers for genuine dialogue, rather than just asking them to report on their progress.","1. Flexible and Individualized Assessment: The tutor's long-term plan must include flexible assignment formats or individualized assessment methods (e.g., alternatives to standard reading logs) to evaluate the student's progress.

2. Unrestricted Text Self-Selection: The tutor's long-term plan must explicitly protect and emphasize the student's ability to self-select all of their reading materials.

3. Cultivation of a Supportive Reading Community: The tutor's long-term plan must include strategies for building or sustaining a reading community that respects individual perspectives and provides social support for the student's reading identity."
293,84,Adolescent readers who maintain a positive reading identity by distancing themselves from non-reading home and peer environments,163,Discussing book recommendations with non-reading peers,long_term,The student is meeting with her book group in a YAL course to spend 15 minutes discussing book recommendations based on self-selected texts.,"TUTOR: For the next 15 minutes, please discuss your book recommendations with your book group.

STUDENT: I guess I can tell them about the book I am reading right now.

TUTOR: What do you usually say to them?

STUDENT: Oh, well some people are, like, 'Oh, what is the book you are reading right now?' And I tell them about it, and they are like, 'Oh, that?™s cool, I?™ll read it.'

TUTOR: How does that work out?

STUDENT: (Donning a playful affect) And then they never do! It's frustrating because of their unwillingness to read my explicit recommendations, but I just take it in stride.",457,Task Resistance,"1. Integration of Strong Critiques: The tutor's response must offer, encourage, or validate an opportunity for the student to provide a strong critique or opinion about a book, rather than strictly enforcing a standard written requirement.

2. Facilitation of Authentic Reader Dialogue: The tutor's response must invite the student into an authentic conversation about their reading experience or actively connect them with peers for genuine dialogue, rather than just asking them to report on their progress.","1. Flexible and Individualized Assessment: The tutor's long-term plan must include flexible assignment formats or individualized assessment methods (e.g., alternatives to standard reading logs) to evaluate the student's progress.

2. Unrestricted Text Self-Selection: The tutor's long-term plan must explicitly protect and emphasize the student's ability to self-select all of their reading materials.

3. Cultivation of a Supportive Reading Community: The tutor's long-term plan must include strategies for building or sustaining a reading community that respects individual perspectives and provides social support for the student's reading identity."
294,85,Adolescent readers who internalize institutional 'struggling' labels despite high engagement in self-selected reading,164,Time-constrained required reading in traditional English,immediate,The student is asked to complete a required reading assignment from their traditional English class within a specific twenty-minute time limit.,"TUTOR: Please open your required English book to the next chapter. You have twenty minutes to complete the reading before the assignment is due.

STUDENT: The reading parts, I suffer in 'cause I just don't like school reading. When it's required, I think that it just feels like a chore, something I have to do.

TUTOR: Just try to read as much as you can right now.

STUDENT: I?™m a really slow reader, and I have a lot of issues with reading, so when I have a specific time, it puts more pressure on me.

TUTOR: Keep trying. We need to stick to the schedule.

STUDENT: It makes it a lot more difficult for me to read. I don't want to do it, so I'm just not going to complete this required reading.",458,Task Resistance,"1. Provision of Text Choice: The tutor offers the student alternative book options or the freedom to choose what they read, rather than forcing compliance with a specific assigned text.

2. Elimination of Time Constraints: The tutor explicitly removes time limits or speed expectations, allowing the student to read entirely at their own pace.

3. Absence of Mechanical Fluency Drills: The tutor does not introduce scripted decoding exercises, fluency drills, or speed-reading tasks in their response.","1. Effort-Based Personal Assessment: The tutor's long-term plan includes individualized conferences or reflections focused on the student's effort and personal goals rather than standardized skill acquisition.

2. Authentic One-on-One Discourse: The tutor plans for regular, genuine one-on-one conversations about the reading material instead of assigning group work or traditional comprehension worksheets.

3. Validation of Reading for Pleasure: The tutor incorporates strategies to validate the student's reading for pleasure and encourages them to question or reframe negative institutional labels."
295,85,Adolescent readers who internalize institutional 'struggling' labels despite high engagement in self-selected reading,164,Time-constrained required reading in traditional English,long_term,The student is asked to complete a required reading assignment from their traditional English class within a specific twenty-minute time limit.,"TUTOR: Please open your required English book to the next chapter. You have twenty minutes to complete the reading before the assignment is due.

STUDENT: The reading parts, I suffer in 'cause I just don't like school reading. When it's required, I think that it just feels like a chore, something I have to do.

TUTOR: Just try to read as much as you can right now.

STUDENT: I?™m a really slow reader, and I have a lot of issues with reading, so when I have a specific time, it puts more pressure on me.

TUTOR: Keep trying. We need to stick to the schedule.

STUDENT: It makes it a lot more difficult for me to read. I don't want to do it, so I'm just not going to complete this required reading.",459,Task Resistance,"1. Provision of Text Choice: The tutor offers the student alternative book options or the freedom to choose what they read, rather than forcing compliance with a specific assigned text.

2. Elimination of Time Constraints: The tutor explicitly removes time limits or speed expectations, allowing the student to read entirely at their own pace.

3. Absence of Mechanical Fluency Drills: The tutor does not introduce scripted decoding exercises, fluency drills, or speed-reading tasks in their response.","1. Effort-Based Personal Assessment: The tutor's long-term plan includes individualized conferences or reflections focused on the student's effort and personal goals rather than standardized skill acquisition.

2. Authentic One-on-One Discourse: The tutor plans for regular, genuine one-on-one conversations about the reading material instead of assigning group work or traditional comprehension worksheets.

3. Validation of Reading for Pleasure: The tutor incorporates strategies to validate the student's reading for pleasure and encourages them to question or reframe negative institutional labels."
296,85,Adolescent readers who internalize institutional 'struggling' labels despite high engagement in self-selected reading,165,Assigned uninteresting text with difficult comprehension questions,immediate,The student is working in a traditional English class to read an assigned book and answer comprehension questions with a group.,"TUTOR: Please read the assigned book chapter with your group and answer the comprehension questions on the worksheet.

STUDENT: I don't want to do this group work. I prefer to read independently.

TUTOR: The assignment is to work with your group on the reading.

STUDENT: I can't do these. The books kinda got harder where I couldn?™t just skim through them, and I was kinda asked different questions that were more difficult to answer.

TUTOR: Just do your best to focus on the text and answer them.

STUDENT: I never read for English. I only skim. But when it?™s a really bad book, I get distracted because I?™m one of those kids who has attention deficit hyperactivity disorder (ADHD), and so it?™s not easy to focus on something that?™s not interesting.",460,Task Resistance,"1. Provision of Text Choice: The tutor offers the student alternative book options or the freedom to choose what they read, rather than forcing compliance with a specific assigned text.

2. Elimination of Time Constraints: The tutor explicitly removes time limits or speed expectations, allowing the student to read entirely at their own pace.

3. Absence of Mechanical Fluency Drills: The tutor does not introduce scripted decoding exercises, fluency drills, or speed-reading tasks in their response.","1. Effort-Based Personal Assessment: The tutor's long-term plan includes individualized conferences or reflections focused on the student's effort and personal goals rather than standardized skill acquisition.

2. Authentic One-on-One Discourse: The tutor plans for regular, genuine one-on-one conversations about the reading material instead of assigning group work or traditional comprehension worksheets.

3. Validation of Reading for Pleasure: The tutor incorporates strategies to validate the student's reading for pleasure and encourages them to question or reframe negative institutional labels."
297,85,Adolescent readers who internalize institutional 'struggling' labels despite high engagement in self-selected reading,165,Assigned uninteresting text with difficult comprehension questions,long_term,The student is working in a traditional English class to read an assigned book and answer comprehension questions with a group.,"TUTOR: Please read the assigned book chapter with your group and answer the comprehension questions on the worksheet.

STUDENT: I don't want to do this group work. I prefer to read independently.

TUTOR: The assignment is to work with your group on the reading.

STUDENT: I can't do these. The books kinda got harder where I couldn?™t just skim through them, and I was kinda asked different questions that were more difficult to answer.

TUTOR: Just do your best to focus on the text and answer them.

STUDENT: I never read for English. I only skim. But when it?™s a really bad book, I get distracted because I?™m one of those kids who has attention deficit hyperactivity disorder (ADHD), and so it?™s not easy to focus on something that?™s not interesting.",461,Task Resistance,"1. Provision of Text Choice: The tutor offers the student alternative book options or the freedom to choose what they read, rather than forcing compliance with a specific assigned text.

2. Elimination of Time Constraints: The tutor explicitly removes time limits or speed expectations, allowing the student to read entirely at their own pace.

3. Absence of Mechanical Fluency Drills: The tutor does not introduce scripted decoding exercises, fluency drills, or speed-reading tasks in their response.","1. Effort-Based Personal Assessment: The tutor's long-term plan includes individualized conferences or reflections focused on the student's effort and personal goals rather than standardized skill acquisition.

2. Authentic One-on-One Discourse: The tutor plans for regular, genuine one-on-one conversations about the reading material instead of assigning group work or traditional comprehension worksheets.

3. Validation of Reading for Pleasure: The tutor incorporates strategies to validate the student's reading for pleasure and encourages them to question or reframe negative institutional labels."
